api,label,raw_relative_path,normalized_relative_path,exists,reason
stock_basic,股票列表,股票数据/基础数据/股票列表,股票数据/基础数据/股票列表,1,
stk_premarket,每日股本（盘前）,股票数据/基础数据/每日股本（盘前）,股票数据/基础数据/每日股本（盘前）,1,
trade_cal,交易日历,股票数据/基础数据/交易日历,股票数据/基础数据/交易日历,1,
stock_st,ST股票列表,股票数据/基础数据/ST股票列表,股票数据/基础数据/ST股票列表,1,
st,ST风险警示板股票,股票数据/基础数据/ST风险警示板股票,股票数据/基础数据/ST风险警示板股票,1,
stock_hsgt,沪深港通股票列表,股票数据/基础数据/沪深港通股票列表,股票数据/基础数据/沪深港通股票列表,1,
namechange,股票曾用名,股票数据/基础数据/股票曾用名,股票数据/基础数据/股票曾用名,1,
stock_company,上市公司基本信息,股票数据/基础数据/上市公司基本信息,股票数据/基础数据/上市公司基本信息,1,
stk_managers,上市公司管理层,股票数据/基础数据/上市公司管理层,股票数据/基础数据/上市公司管理层,1,
stk_rewards,管理层薪酬和持股,股票数据/基础数据/管理层薪酬和持股,股票数据/基础数据/管理层薪酬和持股,1,
bse_mapping,北交所新旧代码对照,股票数据/基础数据/北交所新旧代码对照,股票数据/基础数据/北交所新旧代码对照,1,
new_share,IPO新股上市,股票数据/基础数据/IPO新股上市,股票数据/基础数据/IPO新股上市,1,
bak_basic,股票历史列表,股票数据/基础数据/股票历史列表,股票数据/基础数据/股票历史列表,1,
daily,历史日线,股票数据/行情数据/历史日线,股票数据/行情数据/历史日线,1,
rt_k,实时日线,股票数据/行情数据/实时日线,股票数据/行情数据/实时日线,1,
stk_mins,历史分钟,股票数据/行情数据/历史分钟,股票数据/行情数据/历史分钟,1,
rt_min,实时分钟,股票数据/行情数据/实时分钟,股票数据/行情数据/实时分钟,1,
weekly,周线行情,股票数据/行情数据/周线行情,股票数据/行情数据/周线行情,1,
monthly,月线行情,股票数据/行情数据/月线行情,股票数据/行情数据/月线行情,1,
stk_weekly_monthly,周/月线行情(每日更新),股票数据/行情数据/周/月线行情(每日更新),股票数据/行情数据/周／月线行情(每日更新),1,normalized_for_filesystem
stk_week_month_adj,周/月线复权行情(每日更新),股票数据/行情数据/周/月线复权行情(每日更新),股票数据/行情数据/周／月线复权行情(每日更新),1,normalized_for_filesystem
adj_factor,复权因子,股票数据/行情数据/复权因子,股票数据/行情数据/复权因子,1,
realtime_quote,实时Tick（爬虫）,股票数据/行情数据/实时Tick（爬虫）,股票数据/行情数据/实时Tick（爬虫）,1,
realtime_tick,实时成交（爬虫）,股票数据/行情数据/实时成交（爬虫）,股票数据/行情数据/实时成交（爬虫）,1,
realtime_list,实时排名（爬虫）,股票数据/行情数据/实时排名（爬虫）,股票数据/行情数据/实时排名（爬虫）,1,
daily_basic,每日指标,股票数据/行情数据/每日指标,股票数据/行情数据/每日指标,1,
stk_limit,每日涨跌停价格,股票数据/行情数据/每日涨跌停价格,股票数据/行情数据/每日涨跌停价格,1,
suspend_d,每日停复牌信息,股票数据/行情数据/每日停复牌信息,股票数据/行情数据/每日停复牌信息,1,
ggt_daily,港股通每日成交统计,股票数据/行情数据/港股通每日成交统计,股票数据/行情数据/港股通每日成交统计,1,
ggt_monthly,港股通每月成交统计,股票数据/行情数据/港股通每月成交统计,股票数据/行情数据/港股通每月成交统计,1,
bak_daily,备用行情,股票数据/行情数据/备用行情,股票数据/行情数据/备用行情,1,
income,利润表,股票数据/财务数据/利润表,股票数据/财务数据/利润表,1,
balancesheet,资产负债表,股票数据/财务数据/资产负债表,股票数据/财务数据/资产负债表,1,
cashflow,现金流量表,股票数据/财务数据/现金流量表,股票数据/财务数据/现金流量表,1,
forecast,业绩预告,股票数据/财务数据/业绩预告,股票数据/财务数据/业绩预告,1,
express,业绩快报,股票数据/财务数据/业绩快报,股票数据/财务数据/业绩快报,1,
dividend,分红送股数据,股票数据/财务数据/分红送股数据,股票数据/财务数据/分红送股数据,1,
fina_indicator,财务指标数据,股票数据/财务数据/财务指标数据,股票数据/财务数据/财务指标数据,1,
fina_audit,财务审计意见,股票数据/财务数据/财务审计意见,股票数据/财务数据/财务审计意见,1,
fina_mainbz,主营业务构成,股票数据/财务数据/主营业务构成,股票数据/财务数据/主营业务构成,1,
disclosure_date,财报披露日期表,股票数据/财务数据/财报披露日期表,股票数据/财务数据/财报披露日期表,1,
