api_name,api,rate_limit,note
股票列表,stock_basic,未明确（建议按账户权限实测）,权限：2000积分起。此接口是基础信息，调取一次就可以拉取完，建议保存倒本地存储后使用
每日股本（盘前）,stk_premarket,未明确（建议按账户权限实测）,权限：与积分无关，可以在线开通权限。
交易日历,trade_cal,未明确（建议按账户权限实测）,积分：需2000积分
ST股票列表,stock_st,未明确（建议按账户权限实测）,权限：3000积分起
ST风险警示板股票,st,未明确（建议按账户权限实测）,积分：6000积分可提取数据，具体请参阅积分获取办法
沪深港通股票列表,stock_hsgt,未明确（建议按账户权限实测）,权限：3000积分起
股票曾用名,namechange,未明确（建议按账户权限实测）,未提取到权限说明，可打开文档页人工确认。
上市公司基本信息,stock_company,未明确（建议按账户权限实测）,积分：用户需要至少120积分才可以调取，具体请参阅积分获取办法
上市公司管理层,stk_managers,未明确（建议按账户权限实测）,积分：用户需要2000积分才可以调取，5000积分以上频次相对较高，具体请参阅积分获取办法
管理层薪酬和持股,stk_rewards,未明确（建议按账户权限实测）,积分：用户需要2000积分才可以调取，5000积分以上频次相对较高，具体请参阅积分获取办法
北交所新旧代码对照,bse_mapping,未明确（建议按账户权限实测）,积分：120积分即可调取
IPO新股上市,new_share,不限制,限量：单次最大2000条，总量不限制
股票历史列表,bak_basic,未明确（建议按账户权限实测）,限量：单次最大7000条，可以根据日期参数循环获取历史，正式权限需要5000积分。
历史日线,daily,每分钟内可调取500次,调取说明：基础积分每分钟内可调取500次，每次6000条数据，一次请求相当于提取一个股票23年历史
实时日线,rt_k,未明确（建议按账户权限实测）,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表，可以在线开通权限。
历史分钟,stk_mins,未明确（建议按账户权限实测）,权限：需单独开权限，正式权限请参阅 权限说明 ，可以在线开通分钟权限。
实时分钟,rt_min,未明确（建议按账户权限实测）,权限：正式权限请参阅 权限说明
周线行情,weekly,不限制,限量：单次最大6000行，可使用交易日期循环提取，总量不限制
月线行情,monthly,不限制,限量：单次最大4500行，总量不限制
周/月线行情(每日更新),stk_weekly_monthly,不限制,"限量：单次最大6000,可使用交易日期循环提取，总量不限制"
