group,api,label,path,reason
master,stock_basic,股票列表,股票数据/基础数据/股票列表,label/path indicates dictionary or reference metadata
master,stk_premarket,每日股本（盘前）,股票数据/基础数据/每日股本（盘前）,label/path indicates dictionary or reference metadata
master,trade_cal,交易日历,股票数据/基础数据/交易日历,fallback to master/reference
master,stock_st,ST股票列表,股票数据/基础数据/ST股票列表,label/path indicates dictionary or reference metadata
master,st,ST风险警示板股票,股票数据/基础数据/ST风险警示板股票,label/path indicates dictionary or reference metadata
master,stock_hsgt,沪深港通股票列表,股票数据/基础数据/沪深港通股票列表,label/path indicates dictionary or reference metadata
master,namechange,股票曾用名,股票数据/基础数据/股票曾用名,label/path indicates dictionary or reference metadata
master,stock_company,上市公司基本信息,股票数据/基础数据/上市公司基本信息,label/path indicates dictionary or reference metadata
master,stk_managers,上市公司管理层,股票数据/基础数据/上市公司管理层,label/path indicates dictionary or reference metadata
master,stk_rewards,管理层薪酬和持股,股票数据/基础数据/管理层薪酬和持股,label/path indicates dictionary or reference metadata
master,bse_mapping,北交所新旧代码对照,股票数据/基础数据/北交所新旧代码对照,label/path indicates dictionary or reference metadata
master,new_share,IPO新股上市,股票数据/基础数据/IPO新股上市,label/path indicates dictionary or reference metadata
historical,bak_basic,股票历史列表,股票数据/基础数据/股票历史列表,time-series/event dataset suitable for local historical storage
historical,daily,历史日线,股票数据/行情数据/历史日线,time-series/event dataset suitable for local historical storage
realtime,rt_k,实时日线,股票数据/行情数据/实时日线,label/api indicates real-time data
historical,stk_mins,历史分钟,股票数据/行情数据/历史分钟,time-series/event dataset suitable for local historical storage
realtime,rt_min,实时分钟,股票数据/行情数据/实时分钟,label/api indicates real-time data
historical,weekly,周线行情,股票数据/行情数据/周线行情,time-series/event dataset suitable for local historical storage
historical,monthly,月线行情,股票数据/行情数据/月线行情,time-series/event dataset suitable for local historical storage
historical,stk_weekly_monthly,周/月线行情(每日更新),股票数据/行情数据/周/月线行情(每日更新),time-series/event dataset suitable for local historical storage
historical,stk_week_month_adj,周/月线复权行情(每日更新),股票数据/行情数据/周/月线复权行情(每日更新),time-series/event dataset suitable for local historical storage
master,adj_factor,复权因子,股票数据/行情数据/复权因子,fallback to master/reference
realtime,realtime_quote,实时Tick（爬虫）,股票数据/行情数据/实时Tick（爬虫）,label/api indicates real-time data
realtime,realtime_tick,实时成交（爬虫）,股票数据/行情数据/实时成交（爬虫）,label/api indicates real-time data
realtime,realtime_list,实时排名（爬虫）,股票数据/行情数据/实时排名（爬虫）,label/api indicates real-time data
historical,daily_basic,每日指标,股票数据/行情数据/每日指标,time-series/event dataset suitable for local historical storage
historical,stk_limit,每日涨跌停价格,股票数据/行情数据/每日涨跌停价格,time-series/event dataset suitable for local historical storage
master,suspend_d,每日停复牌信息,股票数据/行情数据/每日停复牌信息,fallback to master/reference
historical,ggt_daily,港股通每日成交统计,股票数据/行情数据/港股通每日成交统计,time-series/event dataset suitable for local historical storage
historical,ggt_monthly,港股通每月成交统计,股票数据/行情数据/港股通每月成交统计,time-series/event dataset suitable for local historical storage
historical,bak_daily,备用行情,股票数据/行情数据/备用行情,time-series/event dataset suitable for local historical storage
historical,income,利润表,股票数据/财务数据/利润表,time-series/event dataset suitable for local historical storage
historical,balancesheet,资产负债表,股票数据/财务数据/资产负债表,time-series/event dataset suitable for local historical storage
historical,cashflow,现金流量表,股票数据/财务数据/现金流量表,time-series/event dataset suitable for local historical storage
historical,forecast,业绩预告,股票数据/财务数据/业绩预告,time-series/event dataset suitable for local historical storage
historical,express,业绩快报,股票数据/财务数据/业绩快报,time-series/event dataset suitable for local historical storage
historical,dividend,分红送股数据,股票数据/财务数据/分红送股数据,time-series/event dataset suitable for local historical storage
historical,fina_indicator,财务指标数据,股票数据/财务数据/财务指标数据,time-series/event dataset suitable for local historical storage
historical,fina_audit,财务审计意见,股票数据/财务数据/财务审计意见,time-series/event dataset suitable for local historical storage
historical,fina_mainbz,主营业务构成,股票数据/财务数据/主营业务构成,time-series/event dataset suitable for local historical storage
historical,disclosure_date,财报披露日期表,股票数据/财务数据/财报披露日期表,time-series/event dataset suitable for local historical storage
historical,pledge_stat,股权质押统计数据,股票数据/参考数据/股权质押统计数据,time-series/event dataset suitable for local historical storage
historical,pledge_detail,股权质押明细数据,股票数据/参考数据/股权质押明细数据,time-series/event dataset suitable for local historical storage
historical,repurchase,股票回购,股票数据/参考数据/股票回购,time-series/event dataset suitable for local historical storage
historical,share_float,限售股解禁,股票数据/参考数据/限售股解禁,time-series/event dataset suitable for local historical storage
historical,block_trade,大宗交易,股票数据/参考数据/大宗交易,time-series/event dataset suitable for local historical storage
historical,stk_account,股票开户数据（停）,股票数据/参考数据/股票开户数据（停）,time-series/event dataset suitable for local historical storage
historical,stk_account_old,股票开户数据（旧）,股票数据/参考数据/股票开户数据（旧）,time-series/event dataset suitable for local historical storage
historical,stk_holdernumber,股东人数,股票数据/参考数据/股东人数,time-series/event dataset suitable for local historical storage
historical,stk_holdertrade,股东增减持,股票数据/参考数据/股东增减持,time-series/event dataset suitable for local historical storage
historical,report_rc,券商盈利预测数据,股票数据/特色数据/券商盈利预测数据,time-series/event dataset suitable for local historical storage
historical,cyq_perf,每日筹码及胜率,股票数据/特色数据/每日筹码及胜率,time-series/event dataset suitable for local historical storage
historical,cyq_chips,每日筹码分布,股票数据/特色数据/每日筹码分布,time-series/event dataset suitable for local historical storage
historical,stk_factor_pro,股票技术面因子(专业版）,股票数据/特色数据/股票技术面因子(专业版）,time-series/event dataset suitable for local historical storage
historical,ccass_hold,中央结算系统持股统计,股票数据/特色数据/中央结算系统持股统计,time-series/event dataset suitable for local historical storage
historical,ccass_hold_detail,中央结算系统持股明细,股票数据/特色数据/中央结算系统持股明细,time-series/event dataset suitable for local historical storage
historical,hk_hold,沪深股通持股明细,股票数据/特色数据/沪深股通持股明细,time-series/event dataset suitable for local historical storage
historical,stk_auction_o,股票开盘集合竞价数据,股票数据/特色数据/股票开盘集合竞价数据,time-series/event dataset suitable for local historical storage
historical,stk_auction_c,股票收盘集合竞价数据,股票数据/特色数据/股票收盘集合竞价数据,time-series/event dataset suitable for local historical storage
historical,stk_nineturn,神奇九转指标,股票数据/特色数据/神奇九转指标,time-series/event dataset suitable for local historical storage
historical,stk_ah_comparison,AH股比价,股票数据/特色数据/AH股比价,time-series/event dataset suitable for local historical storage
historical,stk_surv,机构调研数据,股票数据/特色数据/机构调研数据,time-series/event dataset suitable for local historical storage
historical,broker_recommend,券商月度金股,股票数据/特色数据/券商月度金股,time-series/event dataset suitable for local historical storage
master,margin,融资融券交易汇总,股票数据/两融及转融通/融资融券交易汇总,fallback to master/reference
historical,margin_detail,融资融券交易明细,股票数据/两融及转融通/融资融券交易明细,time-series/event dataset suitable for local historical storage
master,margin_secs,融资融券标的（盘前）,股票数据/两融及转融通/融资融券标的（盘前）,label/path indicates dictionary or reference metadata
master,slb_sec,转融券交易汇总(停）,股票数据/两融及转融通/转融券交易汇总(停）,fallback to master/reference
master,slb_len,转融资交易汇总,股票数据/两融及转融通/转融资交易汇总,fallback to master/reference
historical,slb_sec_detail,转融券交易明细(停）,股票数据/两融及转融通/转融券交易明细(停）,time-series/event dataset suitable for local historical storage
master,slb_len_mm,做市借券交易汇总(停）,股票数据/两融及转融通/做市借券交易汇总(停）,fallback to master/reference
historical,moneyflow,个股资金流向,股票数据/资金流向数据/个股资金流向,time-series/event dataset suitable for local historical storage
historical,moneyflow_ths,个股资金流向（THS）,股票数据/资金流向数据/个股资金流向（THS）,time-series/event dataset suitable for local historical storage
historical,moneyflow_dc,个股资金流向（DC）,股票数据/资金流向数据/个股资金流向（DC）,time-series/event dataset suitable for local historical storage
historical,moneyflow_cnt_ths,板块资金流向（THS),股票数据/资金流向数据/板块资金流向（THS),time-series/event dataset suitable for local historical storage
historical,moneyflow_ind_ths,行业资金流向（THS）,股票数据/资金流向数据/行业资金流向（THS）,time-series/event dataset suitable for local historical storage
historical,moneyflow_ind_dc,板块资金流向（DC）,股票数据/资金流向数据/板块资金流向（DC）,time-series/event dataset suitable for local historical storage
historical,moneyflow_mkt_dc,大盘资金流向（DC）,股票数据/资金流向数据/大盘资金流向（DC）,time-series/event dataset suitable for local historical storage
historical,moneyflow_hsgt,沪深港通资金流向,股票数据/资金流向数据/沪深港通资金流向,time-series/event dataset suitable for local historical storage
historical,top_list,龙虎榜每日统计单,股票数据/打板专题数据/龙虎榜每日统计单,time-series/event dataset suitable for local historical storage
historical,top_inst,龙虎榜机构交易单,股票数据/打板专题数据/龙虎榜机构交易单,time-series/event dataset suitable for local historical storage
historical,limit_list_ths,同花顺涨跌停榜单,股票数据/打板专题数据/同花顺涨跌停榜单,time-series/event dataset suitable for local historical storage
historical,limit_list_d,涨跌停和炸板数据,股票数据/打板专题数据/涨跌停和炸板数据,time-series/event dataset suitable for local historical storage
historical,limit_step,涨停股票连板天梯,股票数据/打板专题数据/涨停股票连板天梯,time-series/event dataset suitable for local historical storage
historical,limit_cpt_list,涨停最强板块统计,股票数据/打板专题数据/涨停最强板块统计,time-series/event dataset suitable for local historical storage
historical,ths_index,同花顺行业概念板块,股票数据/打板专题数据/同花顺行业概念板块,time-series/event dataset suitable for local historical storage
historical,ths_daily,同花顺概念和行业指数行情,股票数据/打板专题数据/同花顺概念和行业指数行情,time-series/event dataset suitable for local historical storage
historical,ths_member,同花顺行业概念成分,股票数据/打板专题数据/同花顺行业概念成分,time-series/event dataset suitable for local historical storage
